"Name","ProcessId","CommandLine"
"python.exe","11388","c:\Users\Ashin\OneDrive\Desktop\proj\meeting-ai-app\.venv\Scripts\python.exe c:\Users\Ashin\.antigravity\extensions\ms-python.python-2026.2.0-universal\python_files\run-jedi-language-server.py"
"python3.13.exe","13272","c:\Users\Ashin\OneDrive\Desktop\proj\meeting-ai-app\.venv\Scripts\python.exe c:\Users\Ashin\.antigravity\extensions\ms-python.python-2026.2.0-universal\python_files\run-jedi-language-server.py"
"node.exe","19404","C:\Users\Ashin\AppData\Local\ms-playwright-go\1.50.1\node.exe C:\Users\Ashin\AppData\Local\ms-playwright-go\1.50.1\package\cli.js run-driver"
"python3.13.exe","28524","python  backend/main.py"
"node.exe","31124","""C:\Program Files\nodejs\\node.exe""  ""C:\Program Files\nodejs\\node_modules\npm\bin\npm-cli.js"" run electron:dev"
"node.exe","17824","""node""   ""C:\Users\Ashin\OneDrive\Desktop\proj\meeting-ai-app\node_modules\.bin\\..\concurrently\dist\bin\concurrently.js"" ""cd frontend && npx tailwindcss -i src/index.css -o src/tailwind.css -c tailwind.config.js -w"" ""cd frontend && vite --force"" ""wait-on http://localhost:5173 && electron ."""
"node.exe","29200","""node""   ""C:\Users\Ashin\OneDrive\Desktop\proj\meeting-ai-app\node_modules\.bin\\..\vite\bin\vite.js"" --force"
"node.exe","6456","""C:\Program Files\nodejs\\node.exe""  ""C:\Program Files\nodejs\\node_modules\npm\bin\npx-cli.js"" tailwindcss -i src/index.css -o src/tailwind.css -c tailwind.config.js -w"
"node.exe","6812","""node""   ""C:\Users\Ashin\OneDrive\Desktop\proj\meeting-ai-app\node_modules\.bin\\..\electron\cli.js"" ."
"electron.exe","17944","C:\Users\Ashin\OneDrive\Desktop\proj\meeting-ai-app\node_modules\electron\dist\electron.exe ."
"node.exe","27524","""node""   ""C:\Users\Ashin\OneDrive\Desktop\proj\meeting-ai-app\node_modules\.bin\\..\tailwindcss\lib\cli.js"" -i src/index.css -o src/tailwind.css -c tailwind.config.js -w"
"electron.exe","31216","""C:\Users\Ashin\OneDrive\Desktop\proj\meeting-ai-app\node_modules\electron\dist\electron.exe"" --type=gpu-process --user-data-dir=""C:\Users\Ashin\AppData\Roaming\meeting-ai-app"" --gpu-preferences=WAAAAAAAAADgAAAMAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --mojo-platform-channel-handle=1752 --field-trial-handle=1756,i,14577993576985446802,6228386454055979689,262144 --enable-features=kWebSQLAccess --disable-features=SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version /prefetch:2"
"electron.exe","18200","""C:\Users\Ashin\OneDrive\Desktop\proj\meeting-ai-app\node_modules\electron\dist\electron.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --user-data-dir=""C:\Users\Ashin\AppData\Roaming\meeting-ai-app"" --standard-schemes=media --secure-schemes=media --bypasscsp-schemes=media --fetch-schemes=media --streaming-schemes=media --mojo-platform-channel-handle=1300 --field-trial-handle=1756,i,14577993576985446802,6228386454055979689,262144 --enable-features=kWebSQLAccess --disable-features=SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version /prefetch:8"
"electron.exe","19888","""C:\Users\Ashin\OneDrive\Desktop\proj\meeting-ai-app\node_modules\electron\dist\electron.exe"" --type=renderer --user-data-dir=""C:\Users\Ashin\AppData\Roaming\meeting-ai-app"" --standard-schemes=media --secure-schemes=media --bypasscsp-schemes=media --fetch-schemes=media --streaming-schemes=media --app-path=""C:\Users\Ashin\OneDrive\Desktop\proj\meeting-ai-app"" --enable-sandbox --first-renderer-process --lang=en-US --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1772962505418478 --launch-time-ticks=249354617192 --mojo-platform-channel-handle=3004 --field-trial-handle=1756,i,14577993576985446802,6228386454055979689,262144 --enable-features=kWebSQLAccess --disable-features=SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version /prefetch:1"
